SPEC CPU2006 benchmark,baseline,N00B,N00Balloc
400.perlbench,390,652,409
401.bzip2,548,770,549
403.gcc,333,430,326
429.mcf,453,536,442
445.gobmk,418,653,419
456.hmmer,318,463,316
458.sjeng,505,717,511
462.libquantum,531,631,558
464.h264ref,617,924,628
471.omnetpp,451,483,404
473.astar,497,527,421
483.xalancbmk,300,368,239
433.milc,666,650,625
444.namd,447,513,448
447.dealII,344,496,386
450.soplex*,342,,355
453.povray,167,240,166
470.lbm,366,417,364
482.sphinx3,873,1002,925
